sewershed_code,sewershed_name_short,Counties_served,County_address,Sample_location_type,Current_status,Shapefile,HO_region,site_type,Label_Name,tp_zipcode,DCIPHER_reported_pop,Shapefile.Name,Facility.Name,Verily.Name,Verily.DCIPHER.Name,SCAN.Name,HCVT.Name.s..Master.Covid.File,DWRL.Name,NWSS.Verily.Name,Biobot.Name,Luminultra.Name,UCB..CAL4..Name,CA.NWSS.Pilot.Name,other_name,sewershed_code_2
Amer_Canyon_Napa,American Canyon,Napa,Napa,wwtp,Monitoring,Yes,ABAHO,community,Napa (American Canyon),94503,20256,Amer_Canyon_Napa,American Canyon Water Reclamation Facility,NA,NA,NA,NA,Amer_Canyon_Napa,NA,NA,NA,NA,NA,NA,Amer_Canyon_Napa
AmerValley_Quincy,Quincy,Plumas,Plumas,wwtp,Monitoring,Yes,SACRAMENTO,community,Plumas (Quincy),95971,4217,AmerValley_Quincy,American Valley Wastewater Treatment Pant,NA,NA,NA,NA,AmerValley_Quincy,NA,NA,NA,NA,NA,NA,AmerValley_Quincy
Atascadero_WRF,Atascadero,San Luis Obispo,San Luis Obispo,wwtp,Not Monitoring,No,SOCAL,Community,San Luis Obispo (Atascadero),93422,15200,None,City of Atascadero Water Reclamation Facility,NA,NA,NA,NA,NA,atascadero,city of atascadero wrf influent,NA,NA,NA,NA,NA
BKERSFLD_P2,East Bakersfield,Kern,Kern,wwtp,Monitoring,Yes,SJVC,community,Kern (East Bakersfield),93307,168750,BKERSFLD_P2,Wastewater Treatment Plant #2,NA,NA,NA,NA,BKERSFLD_P2,NA,NA,NA,BKERSFLD_P2,NA,NA,BKERSFLD_P2
BKERSFLD_P3,West Bakersfield,Kern,Kern,wwtp,Not Monitoring,Yes,SJVC,community,Kern (West Bakersfield),93313,279023,BKERSFLD_P3,Wastewater Treatment Plant #3,NA,NA,NA,NA,BKERSFLD_P3,NA,NA,NA,NA,NA,NA,BKERSFLD_P3
CALEXICO_CTY,Calexico,Imperial,Imperial,wwtp,Monitoring,Yes,SOCAL,community,Imperial (Calexico),92231,40000,CALEXICO_CTY,Calexico Water Pollution Control Plant,NA,NA,NA,NA,CALEXICO_CTY,NA,NA,NA,CALEXICO_CTY,NA,NA,CALEXICO_CTY
Camarillo_SD,Camarillo,Ventura,Ventura,wwtp,Not Monitoring,No,SOCAL,community,Ventura (Camarillo),93012,47000,None,CDPH - Camarillo Sanitary District- Camarillo Water Reclamation Plant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camarillo_SD
CAWD_Carmel,Carmel,Monterey,Monterey,wwtp,Monitoring,No,ABAHO,community,Monterey (Carmel),93922,15000,None,Carmel Area Wastewater District,carmel area wastewater district,NA,NA,NA,NA,NA,carmel area wd (ca) - facility influent,NA,NA,NA,NA,CAWD_Carmel
CCCSD_Concord,Concord,Contra Costa,Contra Costa,upstream,Not monitoring,Yes,ABAHO,community,Contra Costa (Concord),94553,145000,CCCSD_Concord,Central Contra Costa SD WWTP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CCCSD_Concord
CCCSD_WWTP,Central Contra Costa,Contra Costa,Contra Costa,wwtp,Monitoring,Yes,ABAHO,community,Contra Costa (Central San),94553,484800,CCCSD_WWTP,Central Contra Costa SD WWTP,Contra Costa County,central contra costa sanitary district,NA,NA,CCCSD_WWTP,NA,central contra costa sanitary district inf-001,NA,CCCSD_WWTP,NA,NA,CCCSD_WWTP
