"","sewershed","zipcode","lat","lng"
"1","Napa (American Canyon)","94503",38.2,-122.23
"2","Plumas (Quincy)","95971",39.9,-121
"3","San Luis Obispo (Atascadero)","93422",35.5,-120.7
"4","Kern (East Bakersfield)","93307",35.2,-118.8
"5","Kern (West Bakersfield)","93313",35.1,-119
"6","Imperial (Calexico)","92231",32.7,-115.5
"7","Ventura (Camarillo)","93012",34.2,-119
"8","Monterey (Carmel)","93922",36.5066168098147,-121.939290914245
"9","Contra Costa (Concord)","94553",38,-122.1
"10","Contra Costa (Central San)","94553",38,-122.1
"11","San Luis Obispo (Cambria)","93428",35.6,-121
"12","San Mateo (Pacifica)","94044",37.63,-122.49
"13","Del Norte (Crescent City)","95531",41.8,-124.1
"14","Butte (Chico)","95928",39.7,-121.8
"15","Lake (Lakeport)","95453",39,-122.9
"16","Santa Barbara (Lompoc)","93436",34.6,-120.4
"17","San Bernardino (Redlands)","92373",34,-117.1
"18","Sutter (Yuba City)","95991",39,-121.6
"19","Marin (CMSA: San Rafael/Larkspur)","94901",37.97,-122.5
"20","Marin (Ross Valley)","94901",37.97,-122.5
"21","Marin (Corte Madera)","94925",37.93,-122.51
"22","Marin (San Rafael)","94901",37.97,-122.5
"23","Marin (West Railroad)","94901",37.97,-122.5
"24","Santa Clara (Stanford Campus)","94305",37.42,-122.17
"25","Santa Clara (Stanford Campus)","94305",37.42,-122.17
"26","San Mateo (San Mateo)","94404",37.55,-122.27
"27","Yolo (Davis)","95616",38.56,-121.82
"28","Contra Costa (Delta Diablo: Pittsburg/Antioch/Bay Point)","94509",38,-121.81
"29","Alameda (East Bay)","94607",37.81,-122.3
"30","Alameda (Central East Bay)","94607",37.81,-122.3
"31","Alameda (North East Bay)","94607",37.81,-122.3
"32","Alameda (South East Bay)","94607",37.81,-122.3
"33","El Dorado (El Dorado)","95762",38.7,-121.1
"34","Imperial (El Centro)","92243",32.7,-115.8
"35","Sonoma (Petaluma)","94954",38.2,-122.6
"36","Yolo (Esparto)","95627",38.7,-122
"37","Humboldt (Eureka)","95503",40.7,-124.1
"38","Solano (California Medical Facility)","95696",NA,NA
"39","Mendocino (Fort Bragg)","95437",39.5,-123.7
"40","Fresno (Fresno)","93706",36.6,-119.9
"41","Solano (Fairfield)","94534",38.2,-122.1
"42","Santa Barbara (Goleta)","93117",34.2,-120
"43","Nevada (Grass Valley)","95949",39.1,-121.1
"44","San Benito (Hollister)","95023",36.9,-121.2
"45","Kings (Hanford)","93239",36,-119.9
"46","San Bernardino (Ontario)","91708",33.95,-117.65
"47","Los Angeles (County)","90745",33.83,-118.26
"48","Los Angeles (Lancaster)","93534",34.7,-118.2
"49","Orange (Laguna Niguel - Coastal)","92677",33.53,-117.71
"50","Orange (Laguna Niguel - JB Latham)","92677",33.53,-117.71
"51","Orange (Laguna Niguel - Regional)","92677",33.53,-117.71
"52","Lake (Northwest)","95453",39,-122.9
"53","Lake (Southeast)","95453",39,-122.9
"54","Los Angeles (City - Hyperion)","90293",33.95,-118.44
"55","Los Angeles (LAX Airport)","90293",33.95,-118.44
"56","Marin (Las Gallinas)","94903",38.02,-122.54
"57","Merced (Los Banos)","93635",37,-120.9
"58","San Luis Obispo (Los Osos)","93402",35.3,-120.8
"59","Los Angeles (Tapia/Calabasas)","91302",34.13,-118.67
"60","Madera (Madera City)","93637",36.9,-120.2
"61","Mono (Mammoth Lakes)","93546",37.6,-118.8
"62","San Joaquin (Manteca)","95337",37.7,-121.2
"63","Marin (Tiburon)","94920",37.89,-122.47
"64","Merced (Merced)","95341",37.2,-120.5
"65","Stanislaus (Modesto)","95351",37.63,-120.98
"66","Monterey (Marina)","93933",36.68,-121.79
